kana,hina,romaji,english,explanation
ブッズー,ぶっすー,bussu-,*grumpy* *grump*,
ブス,ぶす,busu,(1) *stab*;(2) *mutter* *complain*,"(1) Can be a little or serious stab;(2) SFX when someone is complaining, not happy, see also *boso*, *guzu*, *gyaa*, and *musu*."
ブスブス,ぶすぶす,busu busu,(1) *muttered complaining*;(2) *smoking* *smoldering*,"(1) See also *boso*, *guzu*, *gyaa*, and *musu*;(2) SFX for something burning, like when something is being overcooked or burned. See also *pusu pusu*."
ブツ,ぶつ,butsu,*muttered complaining*,"See also *boso*, *guzu*, *gyaa*, and *musu*."
ブツブツ,ぶつぶつ,butsu butsu,(1) *mumble mumble**mutter mutter*;(2) *grumbling* *complaining* *muttering*,"Talking to oneself, otherwise complaining; SFX for a gloomy person muttering to oneself."
ブウッ,ぶうっ,buu,*ahem*,"SFX for a cough, clearing throat (usually to catch someone's attention)."
ブウ,ぶう,buu,(1) *fart*;(2) *buzz* *bzz* *bzzt*,"(1) SFX for passing gas;(2) SFX for a vibrating sound, like a bee in flight"
ブウー,ぶうー,buu-,*suppressed laughter*,
ブぅン,ぶぅん,buun,*vrrm* *rumble*,"SFX for the rumbling of an engine, like that of a car."
ブワ,ぶわ,buwa,(1) *wooooooooosh* *fwumph*;(2) *laughs*;(3) *whoosh*;(4) *boom**ka-boom*;(5) *suddenly*,"(1) SFX when something spreads or explodes;(2) SFX when you suddenly start laughing, similar to *do* but singular;(3) SFX for an airy type of movement;(4) SFX for an explosion;(5) SFX for an unexpected event, used to create drama for a scene"
ブワッ,ぶわっ,buwa,(1) *whoosh*;(2) *bursts into tears**sudden tears*,"(2) SFX used mainly for the shock factor, adding drama to a sudden fit of crying.  Can be emotional, in despair, or in disbelief or shock."
ブワブワ,ぶわぶわ,buwa buwa,*spongy*,SFX for a squishy type of texture.
ブワハハ,ぶわはは,buwahaha,*evil laugh**bwahaha*,"Same as bwahaha, gahaha, gwahaha."
ブヨブヨ,ぶよぶよ,buyo buyo,(1) *flabby*;(2) *squishy* *swollen*,(1) Like *puyo puyo* only it's even more flabby;(2) Waterlogged.
ファンファン,ふぁんふぁん,fan fan fan,*re---whoo- re whoo--*,Sound of sirens.
フォッフォッ,ふぉっふぉっ,foffo,*oh ho ho**oh ho ho ho**bwahaha**gahaha*,"SFX for loud laughter, or the laughter of an elderly person."
フッ,ふっ,fu,(1) *hmph...*;(2) *sigh*;(3) *growl* *gurgle*;(4) *disappears* *relief*;(5) *sudden movement* *shoom* *whoom* *fwoom*;(6) *heh* *smirk*,"(1) Used usually by ""cool"" characters, or those who think they are, to show their coolness.  Similar to *hmph*, but without the sense of looking down at people;(2) Blowing breath out, as in blowing out a candle; see *fua*;(3) Stomach pain, full stomach;(4) Pressure letting up, vanishing."
フ,ふ,fu,*chuckle*,Light and brief laughter with irony or sarcasm.
フッフッフッ,ふっふっふっ,fu fu fu,*kekeke* *hehehe*,"An evil snicker, usually the person has some hidden plot in mind.  See also *ku ku ku* and *pu pu pu*."
フーッ,ふーっ,fu-,(1) *hiss*;(2) *haa* *blush* *flush*;(3) *heh*,"(1) SFX for an animal hissing;(2) SFX for embarrassment, or a suppressed sigh or grunt of embarrassment;(3) SFX for a cocky, self-confident grunt"
フー,ふー,fu-,*sigh* *hiss* *exhale*,SFX for a breath of air being released or exhaled.
フーエ,ふーえ,fu-e,*cry* *wail*,See also *e* and *mii*.
フーン,ふーん,fu-n,*whistling*,Whistling to a tune.
フーン,ふーん,fu-n,*humph* *hmph* *heehh*,
フーサ,ふーさ,fu-sa,*fwshh* *fwwshh*,Like the soft rustling of hair movement.  See also *fusa*.
ファ,ふぁ,fua,*yawn*,See *Fua* (ふあ）.
フア,ふあ,fua,(1) *sigh* *blow*;(2) *sigh*;(3) *yawn*,"(1) Blowing breath out, as in blowing out a candle; See *fu*;(2) See *fuwa*;(3) See *fuwa*."
フア。。,ふあ。。,fua,(1) *yawn*;(2) *ahnn...*,(2) Cry of passion.
フアァー,ふあぁー,fua-,*yawn*,
フエーン,ふえーん,fue-n,*cry* *sob*,
フゴフゴ,ふごふご,fugo fugo,*hm hm**hum hum**mm mm*,
フイ,ふい,fui,*hmph* *humph*,"An arrogant expression, or arrogant grunting noise."
フイー,ふいー,fui-,*sigh*,
フカブカ,ふかぶか,fuka buka,*bow*,SFX for bowing.
フキフキ,ふきふき,fuki fuki,*wipe wipe*,
フっかツ,ふっかつ,fukkatsu,*rejuvenated* *come-back* *revived* *restored* *lively again*,"To come back to life, to be lively and empowered with energy again.  Comes from the word 「ふっかつ」or「復活」, which means ""revival"" or ""come-back."""
フックラ,ふっくら,fukkura,(1) *plump**chubby*;(2) *puffy**soft**fluffy*,
フミ,ふみ,fumi,*step* *stomp*,
フミフミ,ふみふみ,fumi fumi,*stomp stomp*,fumifumi
フム,ふむ,fumu,"*hmph*, *hmm*, *uh-huh*",See also *umu*.
フム。。。,ふむ。。。,fumu,*hmm...**hmm*,SFX for a contemplative grunting sound.
フン,ふん,fun,*hmph*,SFX for a grunt of dismissal or in an offensive manner.
フンッ,ふんっ,fun,*hmph* *humph*,SFX for a grunt of dismissal or in an offensive manner.
フニ,ふに,funi,*rub*,See also *funi funi*.
フニフニ,ふにふに,funi funi,*rub rub*,See also *funi*.
フンカフンカ,ふんかふんか,funka funka,*sniff sniff* *inhale*,See also *nku* and *kunka*.
フンヌー,ふんぬー,funnu-,*urgh* *urrgh* *gaahh* *argh*,A grunt of frustration or distress.
フンワラ,ふんわら,funwara,*gently* *airily* *fluffily*,
フニャフニャ,ふにゃふにゃ,funya funya,(1) *limp* *soft* *flabby*;(2) *mumble* *mrrmph hmph*,"(1) Lacking luster or strength, not crisp or strong;(2) Speaking unclearly, talking with food in one's mouth"
フニャー,ふにゃー,funya-,(1) *weak*;(2) *limp* *soft* *flabby*,"(1) Sad-looking, pathetic;(2) Lacking luster or strength, not crisp or strong."
フニュ,ふにゅ,funyu,*sigh*,Tired sigh.
フラ,ふら,fura,(1) *dizziness*;(2) *drift*;(3) *tremble* *quiver*;(4) *yawn*;(5) *falling*;(6) *wobble* *waver*,(3) See also *puru*;(4) See also *fua*.
フラフラ,ふらふら,fura fura,(1) *dizzy**wobbly**stagger*;(2) *hangs about*;(3) *meandering*;(4) *flap flap*,"(1) SFX of when someone is walking in a way that they look like they are about to faint;(2) Where one hangs about, doing nothing with no aim or purpose;(3) Without direction (walking);(4) SFX for a waving effect, such as flapping one's arms as one teeters off balance."
フリ,ふり,furi,*tremble* *quiver*,See also *puru*.
フル,ふる,furu,*tremble* *quiver*,See also *puru*.
フルフル,ふるふる,furu furu,(1) *shivering* *trembling*;(2) *shake*,(1) Either from emotional buildup or from the cold;(2) To shake one's head.
フサ,ふさ,fusa,*soft* *fluff*,"Abundant soft hair, or somebody touching it."
フサフサ,ふさふさ,fusa fusa,*fluffy*,
フシュー,ふしゅー,fushu-,*fshhhh*,"SFX for when something cools down, usually machines but can be people like Kaidoh in PoT, as *Shu-*"
フト,ふと,futo,*suddenly**all of a sudden*,"Can also be used in a ""sudden realization"" context, or sudden dawning or moment of enlightenment.Can also be used when remembering something and making a comparison.  In this case it can be *realize*."
フウ,ふう,fuu,(1) *pant* *haa* *ha*;(2) *sigh*;(3) *blow* *breath*,"(3) SFX for blowing a breath of air, lightly."
フウン,ふうん,fuun,*humph* *hmph* *heehh*,
フワ,ふわ,fuwa,(1) *gentle* *lift* *float*;(2) *yawn*;(3) *woosh* *whoosh*,(1) Gentle movement;(2) See also *fua*.
フワフワ,ふわふわ,fuwa fuwa,(1) *floating* *softness*;(2) *soft*;(3) *fluff fluff*,"(1) Floating sensation;(2) Cushy soft;(3) SFX for something soft and fluffy, such as a cloud floating."
フワハハ,ふわはは,fuwahaha,*evil laugh*,"Same as bwahaha, gahaha, gwahaha."
フワリ,ふわり,fuwari,*float*,"Sensation, like when being lifted."
フワト,ふわと,fuwato,*lift* *gentle* *floating*,Gentle movement.
プッ,ぷっ,pu,*pfft*,"SFX for a light laugh, slightly smothered.  Can be derogatory."
プ,ぷ,pu,(1) *pinch* *pluck*;(2) *boop* *beep*,"(1) See also *bu*;(2) SFX for a beeping sound, like the button of a phone when pressed."
プププ,ぷぷぷ,pu pu pu,*strange laugh*,See also *fu fu fu*.
プー,ぷー,pu-,(1) *dohhhh*;(2) *anger*,(1) Blowing up your cheeks and whining like a child;(2) See also *puri puri*.
プーッ,ぷーっ,pu-,*ddoooh* *oohhh*,SFX for stifled laughter or moaning.
プーン,ぷーん,pu-n,(1) *odor*;(2) *bzz* *buzz*,"(1) SFX to explain some awful smell going around like *Tsu-n* but no so ""sour"";(2) SFX for the presence of a small insect."
プーップーップーッ,ぷーっぷーっぷーっ,pu-pu-pu-,*beep beep beep*,Like when someone hangs up on you.
プアッ,ぷあっ,pua,*gasp* *fwaa*,SFX for a gasp of breath.
プチッ,ぷちっ,puchi,(1) *pop*;(2) *snap*,"(1) Something small busting, ex. bubble wrap;(2) When someone loses their temper."
プチプチ,ぷちぷち,puchi puchi,*popping*,"Like ikura, bubble plastic."
プチプチ,ぷちぷち,puchi puchi,*pop pop* *crackle crackle*,
プチーン,ぷちーん,puchi-n,*snap*,
プチン,ぷちん,puchin,*snap*,
プハ,ぷは,puha,*gasp* *haahh*,SFX for catching one's breath after holding it for a long time.
プハー,ぷはー,puha-,*phew* *sigh* *relief*,"A gasp of relief, satisfaction."
プイッ,ぷいっ,pui,(1) *snob* *snub**turn away*;(2) *suddenly leaves**disappears*,
プイ,ぷい,pui,*snub* *turn* *turn away* *ignore*,"To avoid someone or something in a rude manner, and/or out of spite."
プク,ぷく,puku,*swell*,"Something swelling, starting to swell.  See also *buku*."
プクプク,ぷくぷく,puku puku,*swelling* *swollen*,See also *buku*.
プクー,ぷくー,puku-,*blow up*,"The process of putting air into a balloon, to put air into your cheeks (like *Pu~*)."
プンプン,ぷんぷん,pun pun,*cranky**pissed off**hmph*,SFX mostly for girls when they are pissed off.
プンタタ,ぷんたた,puntata,*music*,Slow beat; *tata* is for quick beats; see also *bunchacha*.
プラプラ,ぷらぷら,pura pura,(1) *dangle dangle*;(2) *limp* *floppy*,(1) Like *Bura-n*;(2) See also *hero* and *mero*.
プラン,ぷらん,puran,*limp* *floppy*,See also *hero* and *mero*.
プリプリ,ぷりぷり,puri puri,(1) *cranky* *fume*;(2) *soft n juicy* *soft*;(3) *strong smell*;(4) *fret* *worry*,"(1) SFX for anger;(2) SFX to express freshness (prawns, young girls etc) like *pichi pichi*."
プリンプリン,ぷりんぷりん,purin purin,*wobble wobble*,"Often used with breasts and caramel custard.  Used in this sense by *wuorugore* in Konjiki no Gashbell in his theme song ""chichi o moge."""
プリリリン,ぷりりりん,puriririn,*booiiing**boyo-iiinng*,SFX for something bouncy and/or wiggling.See also *purin*.
プル,ぷる,puru,*shake* *quiver*,See also *puri* and *furu*.
プルプル,ぷるぷる,puru puru,(1) *shake shake* *quiver*;(2) *shake shake* *no*,"(1) SFX for trembling from fear, embarrassment, anger, or some other emotion;(2) SFX for shaking one's head from side to side, like nodding ""no"""
プルルップルルッ,ぷるるっぷるるっ,pururu pururu,*prrrrrrr*,"SFX for train calls, phones ringing."
プシュー,ぷしゅー,pushu-,*pssshhhhh*,Sound of air leaking.
プス,ぷす,pusu,*psk**pop*,"When one punctures a hole in something like a bubble wrap, not as deep a stab as *busu* or *zaku*."
プスプス,ぷすぷす,pusu pusu,(1) *smoldering* *smoking*;(2) *sizzle sizzle*,To the point where the subject is burnt (i.e. burnt food).See also *busu busu*.
プツッ,ぷつっ,putsu,*suddenly breaks**shatters*,Breaking apart suddenly.
プウ,ぷう,puu,*puff*,
プウット,ぷうっと,puutto,*snort* *honk* *toot*,From a horn or any bodily orifice.
プヨプヨ,ぷよぷよ,puyo puyo,*soft* *jelly-ish*,SFX for something soft like jelly.
ベー,べー,be-,*bleehhh*,"Someone poking their tongue out mocking, giving a raspberry."
ベーダ,べーだ,be-da,*nya nya!*,What you say when you stick out your tongue and pull down your eyelid at someone.
ベベ,べべ,bebe,*putt putt*,"SFX for a mechanical sound, such as the sputtering sound of a scooter motor."
ベチャ,べちゃ,becha,*slurp*,Like sound of licking ice cream sloppily.See also *becha becha*.
ベチャベチャ,べちゃべちゃ,becha becha,(1) *soaked* *drenched*;(2) *chattering* *prattling*;(3) *gooey* *messy*,See also *becha*.
ベチ,べち,bechi,*sticky*,"Dropping something sticky, see *beto beto*."
ベチョ,べちょ,becho,(1) *drops**fall*;(2) *wet**lick*,(1) Something being dropped;(2) See also *becho-*.
ベチョー,べちょー,becho-,(1) *soaked**sticky**soaked and sticky*;(2) *liick**slurp**lap*,(1) Combination of the two;(2) Licking something wet or sticky.See also *pecho*.
ベエ,べえ,bee,*baa*,SFX for the sound of a sheep.
ベキョ,べきょ,bekyo,(1) *wraps around*;(2) *squeeze*,"Ex: When wrapped tightly around with tube-like or string-like material in a tight, restraining grip."
ベラベラ,べらべら,bera bera,*rant rant rant**talk talk talk**blah blah**yack yack*,"SFX for incessant talking, when someone is speaking non-stop and no one can stop them; speaks/says too much."
ベリベリ,べりべり,beri beri,*tear* *rip*,Tearing or ripping something stuck on the surface of something else.  Ex: peeling duck tape off of a box or package.
ベロ,べろ,bero,*peeling back*,
ベローン,べろーん,bero-n,*slide*,
ベロンベロン,べろんべろん,beron beron,*dru---nk**very drunk**intoxicated*,When someone is very drunk.
ベロリ,べろり,berori,*slurp* *shlurp*,"SFX for lapping something up greedily, usually a motion done with the tongue.See also *perori*."
ベシッ,べしっ,beshi,*whack**karate-chop!*,SFX for hitting someone or something with a karate-chop move.
ベソ,べそ,beso,*sob* *whine* *sniff*,SFX for crying.
ベソベソ,べそべそ,beso beso,*sob sob**whine whine*,SFX for crying.
ベタベタ,べたべた,beta beta,*sticky**stick stick*,"SFX for something adhering to something else, like a sticky feeling."
ベタリ,べたり,betari,*stuck* *stick*,"People or objects that stick together, physically or metaphorically."
ベトベト,べとべと,beto beto,*sticky* *gummy*,
ベトーッ,べとーっ,beto-,*streetch*,"SFX for something elastic, like gum stretching."
ベツベツ,べつべつ,betsu betsu,*separate*,"SFX for separation.  Derived from the word ""separate"" or 「別」as in ""different things"" or ""separate things"" 「別の物です」."
ベッタリ,べったり,bettari,(1) *stuck together**glued*;(2) *daub**apply**brush*;(3) *sitting flat**fwump**not budging**not moving*;(4) *stained*,"(1) SFX for when someone/thing is stuck together.Ex: glue and paper, even couples;(2) To apply ointment, or to apply paint or colors (liquid matter);(3) Can be used to describe humor for a character's child-like unwillingness to move;(4) Like food-stains on a carpet."
ベットリ,べっとり,bettori,*stuck together* *glued*,"SFX for when someone/thing is stuck together. Ex. glue and paper, even couples."
ヘヘ,へへ,he he,*hehe* *hee hee* *laugh*,Light laughter.
ヘヘヘ,へへへ,hehehe,*heh heh heh*,Laugh.
ヘコヘコ,へこへこ,heko heko,*depressed*,
ヘナヘナ,へなへな,hena hena,*worn out* *exhausted*,"Don't have any strength in the legs to support oneself, like a dying flower.  See also *heto heto*."
ヘナリ,へなり,henari,*bent*,
ヘラヘラ,へらへら,hera hera,*laugh meaninglessly**hollow laugh**ha ha ha*,"Forced, meaningless laugh."
ヘレベケ,へれべけ,here beke,*dead drunk**completely drunk*,
ヘロヘロ,へろへろ,hero hero,(1) *exhausted* *limp*;(2) *fool*,"(1) Just energy-less, see also *mero*, *pura*, and *puran*;(2) SFX for when acting like a jerk."
ヘタ,へた,heta,*collapsing* *despair* *exhausted*,Sitting down in despair or exhaustion.
ヘタヘタ,へたへた,heta heta,*exhausted*,Like after running.
ヘトヘト,へとへと,heto heto,*buggered*,
ペチャ,ぺちゃ,pecha,*slap*,SFX for painful impact.
ペチャクチャ,ぺちゃくちゃ,pecha kucha,*chit chat**yak yak**yakkity-yak*,"SFX for enthusiastic chatting, bordering on being a little too noisy."
ペチャンコ,ぺちゃんこ,pechanko,*flattened*,
ペチョ,ぺちょ,pecho,*wet**slurp**shlurp*,See also *pecho pecho* and *becho*.
ペチョペチョ,ぺちょぺちょ,pecho pecho,*wet**slurp slurp**shlurp shlurp*,See also *pecho* and *becho*.
ペカーッ,ぺかーっ,peka-,*shing* *shine*,Moment of determination or intuition in a sarcastically or over-done way.
ペコ,ぺこ,peko,*bow*,"SFX for a typical asian, formal/semi-formal/informal bending at the waist to show respect"
ペコペコ,ぺこぺこ,peko peko,(1) *bow bow**fawn**humbly**bow and scrape**grovel*;(2) *very hungry**rumble rumble**growwl*,"(1)  As *Peko* in a continuous notion (grovel);(2) State of extreme hunger, SFX for the growling of a hungry stomach"
ペコンッ,ぺこんっ,pekon,*deep bow*,"SFX for a very formal, proper, and deeply respectful Japanese bow (used to show a deep level of thankfulness, apology, or other dramatic and respectful feeling)."
ペラッ,ぺらっ,pera,*rustle*,SFX for paper.
ペラペラ,ぺらぺら,pera pera,*fluent**smoothly*,"When someone speaks fluently in a language.  Often used in everyday speech as an adverb ""to speak fluently"" or 「ペラペラに話す」."
ペリッ,ぺりっ,peri,*peel**tear**strip**rip off**skin*,"SFX for tearing something off of another surface.Ex: 「ペリッとはがす」which is similar to saying ""to tear something off with a good rip."""
ペロッ,ぺろっ,pero,(1) *lick*;(2) *slurp*,"(1) SFX for taking a small lick of something, like a taste of ice cream or cake icing.  See also *bero*."
ペロペロ,ぺろぺろ,pero pero,*lap lap* *lapping* *lick lick*,Like a dog or kitten.
ペロン,ぺろん,peron,(1) *lick*;(2) *rolling up**rolling down*;(3) *flipping*,
ペロォン,ぺろぉん,peroon,*rolls forward**rolling**rolls up**rolls down*,"SFX for a rolling motion.  Can be in a progressive, directional motion, such as ""rolling over to the other side of the room."""
ペロリ,ぺろり,perori,*eat up*,SFX emphasizing enthusiasm to eat.
ペシ,ぺし,peshi,*slap*,"SFX for a loud smacking sound, like slapping someone on the cheek.See also *pashi*."
ペタペタ,ぺたぺた,peta peta,(1) *stick stick*;(2) *pressing repeatedly*;(3) *stroke stroke*,(1) In the gluing sense;(3) Like when painting something on canvas using a brush.
ペタン,ぺたん,petan,(1) *smooth* *flat*;(2) *flop*;(3) *slump* *slide*,"(2) Flop down on the floor;(3) Motion of falling to the floor, i.e. in shock or disbelief."
ペタンコ,ぺたんこ,petanko,(1) *smooth* *flat*;(2) *flop*,(2) To flop down on the floor.
ペタント,ぺたんと,petanto,(1) *smooth* *flat*;(2) *flop*,(2) To flop down on the floor.
ボ,ぼ,bo,*fwoosh*,
ボッ,ぼっ,bo,(1) *burn* *ignite*;(2) *whoosh*;(3) *whomp* *wham*,"(1) SFX when fire is lit or something catches fire;(2) SFX for something moving fast and violently, like a missile or punch;(3) SFX for a sudden muffled crash, impact, or landing"
ボー,ぼー,bo-,(1) *flame* *fire* *whoosh*;(2) *sluggish* *exhausted* *groggy*;(3) *spaced out* *daydreaming*,"(1) SFX for a firey effect, like the ""whoosh"" of a gas range turned on, or the roar of a fire going out of control; see also *goo*, *guoo*, and *po*;(2) See also *doyon*."
ボーン,ぼーん,bo-n,*boom*,
ボーゼン,ぼーぜん,bo-zen,(1) *dumbfounded* *confused* *confuzzled*;(2) *gape* *mouth open* *duhhh*,"SFX for being caught unawares, or to be semi-shocked (not necessarily in a negative context)."
ボチャ,ぼちゃ,bocha,(1) *splat* *splatter*;(2) *splash*,(2) Something falling into a lake.
ボチャン,ぼちゃん,bochan,*ker-plunk*,Like falling into water.
ボチ,ぼち,bochi,*click*,Rougher than *kachi*
ボチボチ,ぼちぼち,bochi bochi,*steadily*,"Something happening steadily, as in water dripping."
ボフっ,ぼふっ,bofu,*poof*,SFX for landing in pillows or blankets.
ボフン,ぼふん,bofun,*fwump* *fall*,Like someone falling onto something soft (like a sofa or bed).
ボヒュッ,ぼひゅっ,bohyu,*whff* *whoosh* *foom*,"SFX for a super fast move, like a punch, but missing its target."
ボカボカ,ぼかぼか,boka boka,*whack whack*,
ボカーン,ぼかーん,boka-n,*impact* *guuhhh* *shock*,"Figurative ""impact"" - i.e. impact of words or actions. Done in a shocking or mortifying way. See also *bokan*."
ボカン,ぼかん,bokan,(1) *sudden impact*;(2) *bop* *pow* *bonk* *thump*;(3) *impact* *guuhhh* *shock*,"(3) Figurative ""impact"" - i.e. impact of words or actions.  Done in a shocking or mortifying way.  See also *boka-n*."
ボケット,ぼけっと,boketto,*gazing vacantly*,"Derived from ""to be daydreaming"" or 「ぼけとする」."
ボキッ,ぼきっ,boki,(1) *snap* *whack*;(2) *cracking*,(1) See also *baki*.
ボコッ,ぼこっ,boko,(1) *thump* *bump*;(2) *crumble*,
ボコ,ぼこ,boko,(1) *bash*;(2) *boiling* *bubbling* *pop*,"(2) Can also be any bursting sound, see *buku*."
ボコボコ,ぼこぼこ,boko boko,(1) *worn out* *bashed*;(2) *bumpy*;(3) *ground falling apart*,(1) State of being bashed up.
ボム,ぼむ,bomu,*poof*,
ボン,ぼん,bon,*appears*,"SFX for when something magically and suddenly appears.  Often seen with a puff of smoke (see also *pon*, *pom*, and *dororonpa*)."
ボンヤリ,ぼんやり,bonyari,(!) *absent minded**idly**vaguely*;(2) *dimly*,(1) Ex: absent-minded in class;(2) Ex: the island is dimly visible.
ボォー,ぼぉー,boo-,*gazey*,
ボリバリ,ぼりばり,bori bari,*munch crunch**munch munch**crunch crunch*,"SFX for eating something, chewing on something crunchy.See also *bori* (ボリ), and *bari* (バリ)."
ボリボリ,ぼりぼり,bori bori,(1) *scratch scratch*;(2) *crunch crunch*,(1) Like on the thigh;(2) When one is chewing something hard like ice.
ボロ,ぼろ,boro,(1) *in disrepair**beyond disrepair**damaged**worn-out**tattered**shambles*;(2) *crushed**destroyed*;(3) *cry* *drip*,(3) SFX for tears falling.
ボロボロ,ぼろぼろ,boro boro,(1) *crumble*;(2) *torn*;(3) *rumpled**scuffed*slightly damaged**tattered**worn-out*;(4) *cry* *drip*,(1) SFX for something falling apart;(2) For something in a torn state;(4) SFX for tears flowing.
ボサボサ,ぼさぼさ,bosa bosa,(1) *messy*;(2) *gazey*,(1) Messy hair;(2) Sitting around doing nothing when you're meant to be doing something.
ボショ,ぼしょ,bosho,*sad*,"SFX for a somber, disappointed, or upset mood."
ボソ,ぼそ,boso,(1) *mumble* *mutter*;(2) *whisper*,
ボッサッバッサッ,ぼっさっばっさっ,bossa bassa,*flip flip* *fwp fwp* *toss toss*,"SFX for a smooth, skillful, repetitive motion.  Ex: When a professional chef flips pancakes in the pan, or some other type of food."
ボス,ぼす,bosu,*crash*,SFX for crashing into something.
ボスッ,ぼすっ,bosu,*slam* *crash* *ka-bam* *bam* *smash*,
ボタボタ,ぼたぼた,bota bota,(1) *drip*;(2) *thud thud*,(1) Large amount of liquid.  See also *pota pota*.
ボテ,ぼて,bote,*fall* *clomp*,
ボトボト,ぼとぼと,boto boto,(1) *falling*;(2) *drip*,(2) Ping.
ボツ,ぼつ,botsu,*whoosh*,
ボツボツ,ぼつぼつ,botsu botsu,*drip drip*,Large raindrops falling as opposed to *Potsu potsu*
ボウ,ぼう,bou,(1) *bwoom* *alights* *whoosh*;(2) *whoosh*,(1) SFX for something catching fire;(2) SFX for something moving very quickly through the air
ボウット,ぼうっと,boutto,*faintly**vaguely**dreamily**dazed*,"Usually when someone isn't paying attention.Often used in Japanese expression: 「何をぼうっとしているんだ？」or ""what're you daydreaming about?"""
ボヨーン,ぼよーん,boyo-n,*bounce*,"SFX for springy action, can also be used instead of *purin*"
ボヨヨーン,ぼよよーん,boyoyo-n,*bounce*,"SFX for double-springy action, can also be used instead of *purin*"
ホッ,ほっ,ho,*phew*,A sigh of relief.
ホホホ,ほほほ,ho ho ho,*laugh**tee hee hee**tee he he*,"Laughter, specifically refined feminine laughter.  See also *ahahaha* and *ha ha ha* for masculine laughter."
ホー,ほー,ho-,(1) *wind*;(2) *whoop*,(2) SFX for owl at night.
ホー,ほー,ho-,(1) *I see I see**nods nods*;(2) *Really?**Is that so?**heehh*,"(2) SFX for an answering grunt or sound that indicates you are listening to the speaker, can be sarcastic."
ホギャァホギャァ,ほぎゃぁほぎゃぁ,hogya- hogya-,*waa waa*,Crying baby SFX.
ホイサット,ほいさっと,hoisatto,*up we get* *off we go*,A little saying like よいしょ、よっこらせ  which is said when doing physical tasks that are finished easily.
ホジホジ,ほじほじ,hoji hoji,*fiddle fiddle*,"When you dig into something, mostly used when people dig their nose."
ホカホカ,ほかほか,hoka hoka,*nice and warm*,
ホケ,ほけ,hoke,*okay* *ok*,"More of a Japanese-ified version of the english ""OK"", spoken with a somewhat dejected, defeated, or agreeing sigh."
ホコホコ,ほこほこ,hoko hoko,*mrrhmff**mff mff**munch crunch**munch munch*,"Speaking with mouth full, trying to talk around a mouthful of food."
ホノボノ,ほのぼの,hono bono,*nice* *warm**peaceful**nice weather**lovely*,"SFX for a nice, warm, peaceful day or weather."
ホテ,ほて,hote,*dazed*,Like after you've been in the bath or sauna for too long; feeling all and a little too warm.
ホテホテ,ほてほて,hote hote,(1) *dazed*;(2) *toddle toddle*,(1) As in *hote*;(2) See also *tote*.
ホット,ほっと,hotto,*relief**relieved**thank goodness*,
ホワン,ほわん,howan,*soft**soft and warm*,"SFX for a warm and soft object. It could be thought of as mixing ほかほか (hokahoka, warm) and ふわふわ (fuwafuwa, soft)."
ポッ,ぽっ,po,(1) *drip* *plunk*(2) *flame* *light* *blush*,"(1) *pochan* = kerplunk!See also *pi*, *picha*, *pichon*, and *pochi*;(2) For other fire sounds, see *bo* and *guoo*; for other light sounds, see also *paa* and *kaa*."
ポー,ぽー,po-,*gazey*,Often used when you are gazey or get absorbed in something/someone that you can't take your eyes off it.  Ex. Love at first sight.
ポーン,ぽーん,po-n,*pow*,SFX for tennis ball hitting the strings.
ポアッ,ぽあっ,poa,*fwoosh* *complete*,SFX for the end of a transformation.
ポチャポチャ,ぽちゃぽちゃ,pocha pocha,(1) *elastic*;(2) *splash**dabble*;(3) *plump**chubby*,(1) Skin;(2) In water.
ポチャン,ぽちゃん,pochan,*drip* *plunk* *kerplunk!*,"See also *pi*, *picha*, *pichon*, and *pochi*."
ポチポチ,ぽちぽち,pochi pochi,*steadily*,"Something happening steadily, as in water dripping."
ポイ,ぽい,poi,*throw away**toss*,
ポカ,ぽか,poka,*impact*,
ポカポカ,ぽかぽか,poka poka,(1) *dazzling sun* *nice and warm*;(2) *pow pow*,(2) When hitting someone lightly.
ポキ,ぽき,poki,*crack**snap*,"SFX for an electric shock, or the snapping sound of breaking a piece of something apart."
ポクポク,ぽくぽく,poku poku,(1) *tap tap*;(2) *dong dong*;(3) *poke poke*;(4) *step step*,(4) SFX for walking up to something slowly or cautiously
ポクポクチーン,ぽくぽくちーん,poku poku chi-n,*turns to stone**ser---ved**passes out*,"SFX for the consequence of the brunt of a joke, banter, or comeback.  Can be used when character turns to stone or passes out from the comeback."
ポン,ぽん,pon,(1) *pon*;(2) *pat*;(3) *pow*;(4) *pop*;(5) *tap*;(6) *throw* *toss* *here*;(7) *catch*;(8) *push* *bop* *bap*,(1) Something appearing magically; often seen with a puff of smoke (see also *bon* and *dororonpa*);(2) On the shoulder;(3) When you hit a ball on a tennis racket;(4) Like popping a bottle of champagne.
ポンッ,ぽんっ,pon,*pat*,On the shoulder.
ポンポン,ぽんぽん,pon pon,(1) *pon*;(2) *pat*;(3) *pow*,Like *Pon* but in a continuous stream.
ポォーッ,ぽぉーっ,poo-,*choo* *hoot*,"SFX for the whistling of a machine, such as a train whistle blowing."
ポオット,ぽおっと,pootto,*dazed* *obsessed*,
ポポポ,ぽぽぽ,popopo,*pow pow pow* *bang bang bang*,Like a series of gunshots.
ポリ,ぽり,pori,*munch* *crunch*,"Eating biscuit-type foods, slightly crunchy but doesn't take effort to chew.Note: can also be classified as *poli* instead of *pori*."
